Hold0,Hold1,Hold2,Hold3,Hold4,Hold5,Hold6,Hold7,Hold8,Hold9,Hold10,Hold11,Hold12,Hold13,Hold14,Hold15,Hold16,Hold17,Hold18,Hold19,Hold20,Hold21,Hold22,Hold23,Hold24,Hold25,Hold26,Hold27,Hold28,Hold29,Hold30,Hold31,Hold32,Hold33,Hold34,Hold35,Hold36,Hold37,Hold38,Hold39,Hold40,Hold41,Hold42
12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,12,13,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12,13,21,22,23,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,12,13,21,22,23,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,41,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,51,52,61,62,63,64,71,72,73,74,81,82,83,84,91,92,93,94,101,102,103,104,111,112,113,114,121,122,123,124,,,,,,,,,,,,
54,12,13,21,22,23,31,32,33,41,42,43,51,52,53,61,62,63,64,71,72,73,74,81,82,83,84,91,92,93,94,101,102,103,104,111,112,113,114,121,122,123,124
61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,73,74,81,82,83,84,91,92,93,94,101,102,103,104,111,112,113,114,121,122,123,124,,,,,,,,,,,,,,,,,,,
82,81,83,84,91,92,93,94,101,102,103,104,111,112,113,114,121,122,123,124,,,,,,,,,,,,,,,,,,,,,,,
92,91,93,94,101,102,103,104,111,112,113,114,121,122,123,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,94,101,102,103,104,111,112,113,114,121,122,123,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,101,102,104,111,112,113,114,121,122,123,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,111,112,114,121,122,123,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,121,123,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,